train_loss,step,epoch,val_acc,val_loss,test_acc,test_loss
2.2659177780151367,49,0,,,,
2.1256232261657715,99,0,,,,
1.513384222984314,149,0,,,,
1.1756020784378052,199,0,,,,
1.0333468914031982,249,0,,,,
0.8799967169761658,299,0,,,,
0.9660463929176331,349,0,,,,
0.5723514556884766,399,0,,,,
0.5527365803718567,449,0,,,,
0.6141003966331482,499,0,,,,
0.3790583610534668,549,0,,,,
0.6956945657730103,599,0,,,,
0.4422447383403778,649,0,,,,
0.44579270482063293,699,0,,,,
0.3623600900173187,749,0,,,,
0.5869579315185547,799,0,,,,
0.5062862038612366,849,0,,,,
0.40267622470855713,899,0,,,,
,937,0,0.9502999782562256,0.1730654090642929,,
0.44665026664733887,949,1,,,,
0.4145096242427826,999,1,,,,
0.5157952308654785,1049,1,,,,
0.5734986662864685,1099,1,,,,
0.39228683710098267,1149,1,,,,
0.3613203465938568,1199,1,,,,
0.45666739344596863,1249,1,,,,
0.2556442618370056,1299,1,,,,
0.42052462697029114,1349,1,,,,
0.2874850630760193,1399,1,,,,
0.2148360013961792,1449,1,,,,
0.19323168694972992,1499,1,,,,
0.4708009660243988,1549,1,,,,
0.2557153105735779,1599,1,,,,
0.19058726727962494,1649,1,,,,
0.26852884888648987,1699,1,,,,
0.2576923072338104,1749,1,,,,
0.39821767807006836,1799,1,,,,
0.235150545835495,1849,1,,,,
,1875,1,0.9657999873161316,0.1109478548169136,,
0.20914743840694427,1899,2,,,,
0.4107019305229187,1949,2,,,,
0.35438376665115356,1999,2,,,,
0.3528461158275604,2049,2,,,,
0.22382096946239471,2099,2,,,,
0.2951335310935974,2149,2,,,,
0.21155419945716858,2199,2,,,,
0.2477145940065384,2249,2,,,,
0.29750844836235046,2299,2,,,,
0.24135272204875946,2349,2,,,,
0.381976455450058,2399,2,,,,
0.33842405676841736,2449,2,,,,
0.3586386442184448,2499,2,,,,
0.4242377281188965,2549,2,,,,
0.2733651101589203,2599,2,,,,
0.19173234701156616,2649,2,,,,
0.49264878034591675,2699,2,,,,
0.35565492510795593,2749,2,,,,
0.19716256856918335,2799,2,,,,
,2813,2,0.9704999923706055,0.09313544631004333,,
,2814,3,,,0.9704999923706055,0.09313544631004333
